field_id,year,crop_code,crop_name,pixel_count,pct
osm-1052414024,2025,1,Corn,172,100.0
osm-1360326432,2025,5,Soybeans,929,95.09
osm-1360326432,2025,1,Corn,2,0.2
osm-1360386537,2025,5,Soybeans,652,98.94
osm-1360386537,2025,1,Corn,3,0.46
osm-1360394834,2025,1,Corn,112,94.12
osm-1360394834,2025,176,Grass/Pasture,1,0.84
osm-1052414024,2024,5,Soybeans,171,99.42
osm-1052414024,2024,1,Corn,1,0.58
osm-1360326432,2024,1,Corn,943,96.52
osm-1360326432,2024,5,Soybeans,14,1.43
osm-1360386537,2024,1,Corn,636,96.51
osm-1360386537,2024,5,Soybeans,19,2.88
osm-1360394834,2024,5,Soybeans,94,78.99
osm-1360394834,2024,176,Grass/Pasture,15,12.61
osm-1360394834,2024,1,Corn,7,5.88
osm-1052414024,2023,1,Corn,171,99.42
osm-1052414024,2023,5,Soybeans,1,0.58
osm-1360326432,2023,5,Soybeans,937,95.91
osm-1360386537,2023,5,Soybeans,642,97.42
osm-1360386537,2023,1,Corn,1,0.15
osm-1360394834,2023,1,Corn,100,84.03
osm-1360394834,2023,5,Soybeans,10,8.4
osm-1360394834,2023,176,Grass/Pasture,8,6.72
osm-1052414024,2022,1,Corn,172,100.0
osm-1360326432,2022,1,Corn,934,95.6
osm-1360326432,2022,5,Soybeans,3,0.31
osm-1360386537,2022,1,Corn,642,97.42
osm-1360386537,2022,5,Soybeans,1,0.15
osm-1360394834,2022,1,Corn,112,94.12
osm-1360394834,2022,176,Grass/Pasture,7,5.88
osm-1052414024,2021,1,Corn,169,98.26
osm-1052414024,2021,5,Soybeans,3,1.74
osm-1360326432,2021,5,Soybeans,937,95.91
osm-1360386537,2021,5,Soybeans,642,97.42
osm-1360386537,2021,1,Corn,1,0.15
osm-1360394834,2021,5,Soybeans,112,94.12
osm-1360394834,2021,176,Grass/Pasture,6,5.04
