field_id,mukey,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r
osm-1052414024,408342,Clarion,85,Moderately well drained,0,20,3.5,6.2,0.21,25.0,41.0,34.0,1.3,21.3
osm-1052414024,408342,Clarion,85,Moderately well drained,20,40,2.5,6.2,0.18,25.0,41.0,34.0,1.35,21.0
osm-1052414024,408382,Canisteo,75,Poorly drained,0,23,7.0,7.5,0.18,32.0,30.0,38.0,1.05,25.0
osm-1052414024,408382,Canisteo,75,Poorly drained,23,41,5.0,7.7,0.18,32.0,32.0,36.0,1.35,25.5
osm-1052414024,408386,Nicollet,85,Somewhat poorly drained,0,25,6.0,6.2,0.18,30.0,31.0,39.0,1.1,25.6
osm-1052414024,408386,Nicollet,85,Somewhat poorly drained,25,43,4.0,6.2,0.18,30.0,31.0,39.0,1.25,25.2
osm-1052414024,408389,Okoboji,85,Very poorly drained,0,20,9.0,6.8,0.22,36.0,11.0,53.0,0.95,29.5
osm-1052414024,408389,Okoboji,85,Very poorly drained,20,84,6.0,7.0,0.22,36.0,12.0,52.0,1.3,29.2
osm-1052414024,408390,Storden,86,Well drained,0,20,2.5,7.7,0.18,21.0,46.0,33.0,1.3,16.0
osm-1052414024,408390,Storden,86,Well drained,20,140,0.5,7.8,0.18,21.0,42.0,37.0,1.55,15.4
osm-1052414024,408395,Clarion,60,Moderately well drained,0,20,3.5,6.2,0.21,25.0,41.0,34.0,1.3,21.3
osm-1052414024,408395,Clarion,60,Moderately well drained,20,40,2.5,6.2,0.18,25.0,41.0,34.0,1.35,21.0
osm-1052414024,408395,Swanlake,25,Well drained,0,20,3.0,7.7,0.21,24.0,42.0,34.0,1.4,19.6
osm-1052414024,408395,Swanlake,25,Well drained,20,110,0.5,7.9,0.18,23.0,36.0,41.0,1.4,14.0
osm-1052414024,408399,Crippin,80,Somewhat poorly drained,0,25,6.0,7.5,0.21,25.0,36.0,39.0,1.1,20.6
osm-1052414024,408399,Crippin,80,Somewhat poorly drained,25,41,4.0,7.5,0.21,25.0,36.0,39.0,1.25,20.1
osm-1052414024,408409,Okoboji,95,Very poorly drained,0,33,15.0,7.2,0.24,25.0,24.0,51.0,1.23,41.0
osm-1052414024,408410,Harps,85,Poorly drained,0,20,7.0,7.5,0.18,32.0,30.0,38.0,1.05,23.5
osm-1052414024,408410,Harps,85,Poorly drained,20,41,5.0,8.0,0.18,32.0,32.0,36.0,1.35,23.2
osm-1360326432,408334,Webster,85,Poorly drained,0,25,7.0,6.5,0.18,33.0,25.0,42.0,1.05,28.1
osm-1360326432,408334,Webster,85,Poorly drained,25,51,5.0,6.9,0.18,33.0,25.0,42.0,1.35,27.7
osm-1360326432,408342,Clarion,85,Moderately well drained,0,20,3.5,6.2,0.21,25.0,41.0,34.0,1.3,21.3
osm-1360326432,408342,Clarion,85,Moderately well drained,20,40,2.5,6.2,0.18,25.0,41.0,34.0,1.35,21.0
osm-1360326432,408344,Clarion,85,Well drained,0,20,2.5,6.2,0.18,21.0,46.0,33.0,1.3,18.0
