field_id,lat,lon,date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,WS10M
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-01,-5.8900146,-0.40997314,-10.630005,0.0,6.9552,84.41998,4.01001
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-02,-2.8900146,3.0100098,-5.950012,0.0,3.8154218,90.66998,4.5300293
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-03,-3.7700195,0.77001953,-7.700012,0.0,2.9764812,83.21002,4.25
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-04,-5.1799927,-0.7999878,-8.51001,0.0,3.3454056,79.34003,2.380005
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-05,-2.460022,0.32000732,-5.73999,0.0,5.1572165,85.17999,4.0200195
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-06,-2.2700195,1.2199707,-4.6400146,0.10998535,2.1479027,89.02002,3.7600098
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-07,-4.51001,-1.039978,-7.3499756,0.05999756,6.627746,77.31,3.419983
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-08,-2.789978,-0.46002197,-4.7800293,2.6599731,3.1821136,87.73999,5.200012
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-09,-3.4799805,-1.1199951,-8.609985,2.3099976,2.9790704,89.04999,8.090027
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-10,-6.119995,-2.5599976,-8.809998,2.7299805,2.164319,86.70001,3.8900146
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-11,-10.869995,-7.1099854,-13.530029,0.5700073,4.2880325,77.79999,5.210022
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-12,-13.039978,-11.969971,-13.919983,3.3200073,3.913919,84.27002,10.909973
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-13,-19.890015,-13.700012,-24.22998,0.6500244,3.8508487,80.84003,11.690002
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-14,-22.76001,-17.330017,-26.52002,0.030029297,6.8808975,82.140015,6.909973
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-15,-22.21997,-16.27002,-26.939941,0.0,6.7953625,82.21002,6.4699707
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-16,-19.77002,-13.179993,-25.26001,0.0,6.249314,81.119995,7.3099976
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-17,-14.650024,-8.859985,-20.619995,0.0,4.891103,81.04999,4.26001
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-18,-14.700012,-12.840027,-17.640015,3.7000122,5.6194544,85.98999,5.380005
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-19,-17.640015,-15.190002,-22.909973,0.05999756,8.577795,81.359985,6.580017
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-20,-19.159973,-12.789978,-23.409973,0.0,7.1280003,89.880005,3.9400024
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-21,-11.969971,-6.580017,-19.429993,0.0,4.978368,87.65997,9.580017
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-22,-2.2199707,1.0300293,-6.0700073,0.030029297,7.2403193,90.56,4.2700195
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-23,-2.0100098,0.55999756,-4.1900024,0.030029297,3.0818865,95.369995,2.619995
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-24,-0.6500244,1.9500122,-3.6799927,0.099975586,4.4513297,95.099976,2.9500122
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-25,0.539978,2.7999878,-1.0900269,0.3499756,4.2050867,94.21002,1.4000244
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-26,0.020019531,3.6400146,-2.9699707,0.52001953,3.4162543,94.47998,3.0599976
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-27,-1.5800171,2.789978,-3.539978,0.020019531,5.1140165,93.44,3.0
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-28,-0.539978,5.1900024,-2.630005,0.010009766,7.9738545,91.72998,3.2800293
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-29,1.9500122,9.849976,-2.2399902,0.0,10.112254,90.73999,5.909973
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-30,0.6300049,5.669983,-2.4500122,0.0,5.1183352,89.630005,4.9000244
osm-1052414024,43.31467770272625,-94.2635206471532,2024-01-31,2.869995,11.419983,-1.5499878,0.010009766,10.414655,91.15997,5.3499756
osm-1052414024,43.31467770272625,-94.2635206471532,2024-02-01,3.1900024,11.929993,-1.0100098,0.020019531,10.490686,87.51001,4.119995
osm-1052414024,43.31467770272625,-94.2635206471532,2024-02-02,1.0499878,7.169983,-2.039978,0.010009766,7.1064,86.27002,6.289978
osm-1052414024,43.31467770272625,-94.2635206471532,2024-02-03,0.6500244,6.51001,-2.3200073,0.010009766,6.6502056,86.640015,5.3200073
osm-1052414024,43.31467770272625,-94.2635206471532,2024-02-04,0.32000732,7.0300293,-2.8099976,0.0,8.894016,83.900024,3.619995
